Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Bots and AI","Bots|Difficulty","BotNormal.MaxEngagementRange","Max Engagement Range (uu)","4800","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Hard cap on the range a bot will SHOOT at. Deliberately far below SightRange: a bot that knows you exist but will not open up across the arena is what gives a player room to move. Sane range 4000 (Easy) to 6000 (Hard). Below ~3000 on this field size the bots read as ignoring the player entirely - that was measured. [allowed range: 100.0 to 40000.0]"
"Bots and AI","Bots|Difficulty","BotNormal.PreferredCombatRange","Preferred Combat Range (uu)","1700","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Range a bot tries to hold while duelling. Longer = its aim error costs it more. Sane range 1400 to 2000. Should sit well inside MaxEngagementRange. [allowed range: 100.0 to 20000.0]"
"Bots and AI","Bots|Difficulty","BotNormal.BurstDurationMin","Burst Duration Min (s)","0.26","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds of continuous fire before the bot lets go of the trigger. Sane range 0.2 to 0.45. [allowed range: 0.02 to 5.0]"
"Bots and AI","Bots|Difficulty","BotNormal.BurstDurationMax","Burst Duration Max (s)","0.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Upper end of the rolled burst length. Keep at or above BurstDurationMin. [allowed range: 0.02 to 5.0]"
"Bots and AI","Bots|Difficulty","BotNormal.BurstRestMin","Burst Rest Min (s)","0.42","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds the trigger stays released after a burst, whatever the bot can see. Burst / (burst + rest) is the duty cycle, and the duty cycle is the real DPS dial: ~28% on Easy, ~38% on Normal, ~58% on Hard. Sane range 0.3 to 1.0. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|Difficulty","BotNormal.BurstRestMax","Burst Rest Max (s)","0.8","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Upper end of the rolled rest. Keep at or above BurstRestMin. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|Difficulty","BotNormal.DecisionInterval","Decision Interval (s)","0.22","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds between bot state re-evaluations. Steering and aim still run every frame. Sane range 0.15 (Hard) to 0.32 (Easy). This is a cost dial as much as a skill one - ten bots at 0.05 is a measurable frame cost for no visible gain. [allowed range: 0.02 to 2.0]"
"Bots and AI","Bots|Difficulty","BotNormal.Aggression","Aggression (0-1)","0.7","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","0..1. How eagerly a bot spends its dash - to escape while carrying, or to commit at a trail. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotNormal.InterceptorCount","Interceptors (trace hunters)","3","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","How many of the carrier's opponents peel off to hunt the trail. NOT scaled down on Easy. The trail-dash kill is the identity of the game; if it only shows up on Hard then most players never see the mechanic the whole design is built around. Easy is made easy by the shooting model above, not by hiding the signature play. InterceptorCount + PunisherCount must fit inside a five-man side, or the punisher slots never get ... [allowed range: 0 to 5]"
"Bots and AI","Bots|Difficulty","BotNormal.TrailDashCommitChance","Trail Dash Commit Chance (0-1)","0.75","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Per-decision probability that an interceptor in range actually commits its dash at the trail. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotNormal.PassChance","Pass Chance (0-1)","0.55","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Probability a carrying bot passes on an evaluation tick that found a legal receiver. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotNormal.PunisherCount","Punishers (pass hunters)","2","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","How many of the carrier's opponents hold a bead on them instead of hunting their trace. These are the bots that punish a pass. Bullets do nothing to a shielded carrier, so a punisher spends most of its time apparently wasting shots - but the pass drops the shield for half a second, and a gun already pointed at the carrier converts that half second into a kill and a turnover. Without anyone in this role, passing is ... [allowed range: 0 to 5]"
"Bots and AI","Bots|Difficulty","BotNormal.PassCaution","Pass Caution (0-1)","0.6","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","0..1. How careful a carrying bot is about WHEN it starts a pass. Scales the number of covering enemies tolerated inside UTraceSettings::BotPunishRange (which ATraceBotController::CountEnemiesCoveringMe uses as its radius). At 0 a bot passes whenever it has a receiver, drops its shield in front of a firing line and dies for it; at 1 it waits for a genuinely clean window. Low on Easy on purpose. A reckless pass is a ... [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotNormal.MovementTechChance","Movement Tech Chance (0-1)","0.75","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","0..1. How much of the movement kit (slide, crouch fast-fall) this bot uses. Not a skill dial so much as a legibility one: nine bots all sliding at once is noise, and the point of the kit is that it reads as intent. Kept well above zero even on Easy, because a mechanic no bot performs is a mechanic that has never been tested. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotHard.ReactionTimeSeconds","Reaction Time (s)","0.26","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds a bot must hold ONE target continuously before it is allowed to pull the trigger. Sane range 0.2 (Hard, near-instant) to 1.2 (Easy, visibly slow). Above ~1.5 most engagements end before the bot is ever allowed to fire and the bots read as broken rather than as easy. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|Difficulty","BotHard.ReactionJitterFraction","Reaction Jitter (fraction)","0.25","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","+/- fraction of ReactionTimeSeconds rolled per acquisition, so five bots never fire as one. Sane range 0.2 to 0.5. Zero makes a squad fire in perfect unison, which reads as scripted. [allowed range: 0.0 to 0.95]"
"Bots and AI","Bots|Difficulty","BotHard.ReacquireDelaySeconds","Reacquire Delay (s)","0.35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds a bot is blind after its target dies or leaves its engagement envelope. Without this a bot kills you and is already on your teammate in the same frame, which is what turned the opening seconds of a match into a simultaneous ten-way wipe. Sane range 0.3 to 1.4. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|Difficulty","BotHard.AimErrorDegrees","Aim Error Base (deg)","2.5","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Base half-width of the aim error cone, in degrees, at point-blank range against a still target. Sane range 1.5 (Hard) to 6 (Easy). This is the SMALLEST the error ever gets; the range and cross-speed terms below are added on top and dominate at arena distances. [allowed range: 0.0 to 45.0]"
"Bots and AI","Bots|Difficulty","BotHard.AimErrorPerThousandRange","Aim Error per 1000uu Range (deg)","1.2","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Extra degrees of error per 1000uu of range. This is the ""bots are lasers across the map"" fix. Sane range 1.0 (Hard) to 2.5 (Easy). The dominant term at arena distances: at 4000uu it is worth four times the base error. [allowed range: 0.0 to 20.0]"
"Bots and AI","Bots|Difficulty","BotHard.AimErrorPerThousandCrossSpeed","Aim Error per 1000uu/s Cross Speed (deg)","1.2","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Extra degrees of error per 1000uu/s of the target's speed across the bot's line of sight. This is what pays a player for strafing. Sane range 1.0 (Hard) to 4.0 (Easy). [allowed range: 0.0 to 20.0]"
"Bots and AI","Bots|Difficulty","BotHard.AimErrorMaxDegrees","Aim Error Ceiling (deg)","12","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Hard ceiling on total aim error, so a distant sprinter does not make a bot spin in circles. Sane range 12 (Hard) to 22 (Easy). Must stay above AimErrorDegrees or the base is unreachable. [allowed range: 0.5 to 90.0]"
"Bots and AI","Bots|Difficulty","BotHard.AimTurnRateDegrees","Aim Turn Rate (deg/s)","420","deg/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Degrees per second the bot's aim slews. A finite rate is what makes strafing counterplay. Sane range 150 (Easy) to 450 (Hard). Anything above ~700 is instant snap at arena distances. [allowed range: 10.0 to 2000.0]"
"Bots and AI","Bots|Difficulty","BotHard.FireConeDegrees","Fire Cone (deg)","3","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","How close to its OWN (error-offset) aim point a bot must be before it fires. Sane range 2.5 to 4.5. This is a trigger gate, not an accuracy dial - widening it makes bots fire sooner, not more accurately. [allowed range: 0.1 to 45.0]"
"Bots and AI","Bots|Difficulty","BotHard.HeadshotAimFraction","Headshot Aim Chance (0-1)","0.6","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Probability that a bot aims at the HEAD rather than the body when it acquires a target. Damage became positional this pass: head 100, body 40, leg 25. A head hit is an instant kill from full health, so this single number is now the biggest lever on bot lethality - bigger than reaction time and bigger than the aim error cone, both of which only change how often a bot connects, not what a connection is worth. ZERO ON ... [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotHard.SightRange","Sight Range (uu)","8000","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Bots are unaware of enemies beyond this, even with clear line of sight. Sane range 5000 to 8000 on the 33600 x 9600 field. Must stay above MaxEngagementRange or a bot can never legally shoot at anything. [allowed range: 100.0 to 40000.0]"
"Bots and AI","Bots|Difficulty","BotHard.MaxEngagementRange","Max Engagement Range (uu)","6000","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Hard cap on the range a bot will SHOOT at. Deliberately far below SightRange: a bot that knows you exist but will not open up across the arena is what gives a player room to move. Sane range 4000 (Easy) to 6000 (Hard). Below ~3000 on this field size the bots read as ignoring the player entirely - that was measured. [allowed range: 100.0 to 40000.0]"
"Bots and AI","Bots|Difficulty","BotHard.PreferredCombatRange","Preferred Combat Range (uu)","1500","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Range a bot tries to hold while duelling. Longer = its aim error costs it more. Sane range 1400 to 2000. Should sit well inside MaxEngagementRange. [allowed range: 100.0 to 20000.0]"
"Bots and AI","Bots|Difficulty","BotHard.BurstDurationMin","Burst Duration Min (s)","0.4","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds of continuous fire before the bot lets go of the trigger. Sane range 0.2 to 0.45. [allowed range: 0.02 to 5.0]"
"Bots and AI","Bots|Difficulty","BotHard.BurstDurationMax","Burst Duration Max (s)","0.75","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Upper end of the rolled burst length. Keep at or above BurstDurationMin. [allowed range: 0.02 to 5.0]"
"Bots and AI","Bots|Difficulty","BotHard.BurstRestMin","Burst Rest Min (s)","0.3","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds the trigger stays released after a burst, whatever the bot can see. Burst / (burst + rest) is the duty cycle, and the duty cycle is the real DPS dial: ~28% on Easy, ~38% on Normal, ~58% on Hard. Sane range 0.3 to 1.0. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|Difficulty","BotHard.BurstRestMax","Burst Rest Max (s)","0.55","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Upper end of the rolled rest. Keep at or above BurstRestMin. [allowed range: 0.0 to 5.0]"
"Bots and AI","Bots|Difficulty","BotHard.DecisionInterval","Decision Interval (s)","0.16","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Seconds between bot state re-evaluations. Steering and aim still run every frame. Sane range 0.15 (Hard) to 0.32 (Easy). This is a cost dial as much as a skill one - ten bots at 0.05 is a measurable frame cost for no visible gain. [allowed range: 0.02 to 2.0]"
"Bots and AI","Bots|Difficulty","BotHard.Aggression","Aggression (0-1)","0.9","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","0..1. How eagerly a bot spends its dash - to escape while carrying, or to commit at a trail. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotHard.InterceptorCount","Interceptors (trace hunters)","3","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","How many of the carrier's opponents peel off to hunt the trail. NOT scaled down on Easy. The trail-dash kill is the identity of the game; if it only shows up on Hard then most players never see the mechanic the whole design is built around. Easy is made easy by the shooting model above, not by hiding the signature play. InterceptorCount + PunisherCount must fit inside a five-man side, or the punisher slots never get ... [allowed range: 0 to 5]"
"Bots and AI","Bots|Difficulty","BotHard.TrailDashCommitChance","Trail Dash Commit Chance (0-1)","0.95","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Per-decision probability that an interceptor in range actually commits its dash at the trail. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotHard.PassChance","Pass Chance (0-1)","0.5","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","Probability a carrying bot passes on an evaluation tick that found a legal receiver. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotHard.PunisherCount","Punishers (pass hunters)","2","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","How many of the carrier's opponents hold a bead on them instead of hunting their trace. These are the bots that punish a pass. Bullets do nothing to a shielded carrier, so a punisher spends most of its time apparently wasting shots - but the pass drops the shield for half a second, and a gun already pointed at the carrier converts that half second into a kill and a turnover. Without anyone in this role, passing is ... [allowed range: 0 to 5]"
"Bots and AI","Bots|Difficulty","BotHard.PassCaution","Pass Caution (0-1)","1","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","0..1. How careful a carrying bot is about WHEN it starts a pass. Scales the number of covering enemies tolerated inside UTraceSettings::BotPunishRange (which ATraceBotController::CountEnemiesCoveringMe uses as its radius). At 0 a bot passes whenever it has a receiver, drops its shield in front of a firing line and dies for it; at 1 it waits for a genuinely clean window. Low on Easy on purpose. A reckless pass is a ... [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Difficulty","BotHard.MovementTechChance","Movement Tech Chance (0-1)","1","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini -- NOT `config`: DefaultGame.ini cannot reach this one","0..1. How much of the movement kit (slide, crouch fast-fall) this bot uses. Not a skill dial so much as a legibility one: nine bots all sliding at once is noise, and the point of the kit is that it reads as intent. Kept well above zero even on Easy, because a mechanic no bot performs is a mechanic that has never been tested. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Intercept","BotTrailDashRange","Trail Dash Commit Range (uu)","420","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Perpendicular distance to the trail line inside which a hunting bot commits its dash, in uu. Must stay comfortably under the dash's own reach (DashSpeed * DashDuration, ~594uu by default) or the dash stops short of the trail and the signature kill never lands. ABSOLUTE, not field-relative: it is a property of the dash. Sane range 0.6 to 0.85 of dash reach. [allowed range: 10.0 to 3000.0]"
"Bots and AI","Bots|Intercept","BotTrailCrossOvershoot","Trail Cross Overshoot (uu)","320","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How far past the trail an interceptor aims, in uu, so the dash sweeps THROUGH it and not up to it. [allowed range: 0.0 to 3000.0]"
"Bots and AI","Bots|Intercept","BotTrailMinPointLifeRemaining","Min Point Life Remaining (s, x WalkSpeed = uu skipped from tail)","0.4","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How much of the OLDEST end of the trace a hunting bot refuses to aim at, expressed as the seconds of walking that stretch of trace represents (x WalkSpeed = the uu skipped from the tail). A bot that commits to a point which vanishes before it arrives is a bot that spends the whole carry running at ghosts - one of the two reasons trail kills were once 1.3% of deaths. SPEC v7 §1 CHANGED WHAT THIS MEANS, AND THE ... [allowed range: 0.0 to 4.0]"
"Bots and AI","Bots|Intercept","BotInterceptRadiusFieldFraction","Intercept Radius (fraction of field half-length)","0.7","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the field HALF-LENGTH inside which a bot will accept the interceptor role. Capped by the difficulty profile's SightRange, so an interceptor has to be able to SEE the carrier to peel off after them. Without the cap the role radius was pure geometry and a defender on the far side of a 24000uu arena would set off after a carrier it had no way of knowing about - measurably fatal: the carrier died 1-3 seconds ... [allowed range: 0.0 to 2.0]"
"Bots and AI","Bots|Intercept","BotTrailMinDistanceFromCarrier","Min Trail Distance From Carrier (uu)","900","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Trail points closer than this to the carrier are not intercept targets, in uu. The server exempts the newest TrailHeadGracePoints from the trip test, but at the default spacing that is only ~180uu - close enough that a defender standing where the carrier just was could stab the trail at their heels the instant they picked up. That is not the play the mechanic is for. Requiring established trail turns the intercept ... [allowed range: 0.0 to 8000.0]"
"Bots and AI","Bots|Positioning","BotEscortLeadFieldFraction","Escort Lead (fraction of field half-length)","0.18","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the field HALF-LENGTH a screening escort holds ahead of the carrier. Must stay comfortably ABOVE BotPassMinGoalAdvantageFieldFraction, or no escort is ever a legal receiver and bots silently never pass. That was measured: zero passes in fifty runs. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Positioning","BotDeepRunnerStandoffFieldFraction","Deep Runner Standoff (fraction of field half-length)","0.22","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the field HALF-LENGTH short of the goal a deep receiver parks at. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Positioning","BotFormationSpreadFieldFraction","Formation Spread (fraction of field half-width)","0.35","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the field HALF-WIDTH used to spread bots sideways so they do not stack up. [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Positioning","BotAttackLaneFieldFraction","Attack Lane Spread (fraction of field half-width)","0.3","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the field HALF-WIDTH a bot offsets the point it attacks in the enemy endzone. An endzone spans the whole width of the field, so which part of the line a carrier crosses is free choice - and aiming every bot at its exact centre threw that away, funnelling every carry and every escort station down one corridor. This gives each bot its own crossing point for the life of its pawn (FormationBias is uniform in ... [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Positioning","BotGoalInsetFromWall","Goal Inset From Wall (uu)","300","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How far inside the endzone the goal point sits, in uu. Must stay under the endzone depth (900uu). [allowed range: 0.0 to 900.0]"
"Bots and AI","Bots|Positioning","BotWallAvoidMargin","Wall Avoid Margin (uu)","500","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close to a wall the steering repulsion field starts pushing back, in uu. Absolute: dash reach. [allowed range: 1.0 to 4000.0]"
"Bots and AI","Bots|Positioning","BotCarrierPanicRadius","Carrier Panic Radius (uu)","900","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","An enemy inside this radius (uu) makes a carrying bot spend its dash to break away. Absolute. [allowed range: 0.0 to 8000.0]"
"Bots and AI","Bots|Positioning","BotEndzoneResolveInterval","Endzone Re-resolve Interval (s)","1","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds between re-asking the ATraceEndzone actors which end this team attacks. Bots MUST NOT cache ""Blue attacks +X"". Teams switch sides at half time, and a bot still running at the first-half endzone in the second half is both the most likely bug in this pass and one that looks exactly like bad pathing. Polling is a two-actor scan, so it is cheap enough to simply keep doing forever rather than trying to detect the ... [allowed range: 0.05 to 30.0]"
"Bots and AI","Bots|Targeting","BotHumanTargetBias","Human Target Bias (squared-distance weight)","0.25","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Weight applied to a HUMAN target's squared distance when a bot picks who to shoot. Below 1 means preferred; 1.0 restores pure nearest-first. Nine of the ten players in a solo match are bots and they cluster on the objective, so nearest-first made the human the least-shot-at actor on the field. Measured on the shipped Easy profile: bots had the human inside engagement range with clear line of sight for 50.8% of ... [allowed range: 0.01 to 1.0]"
"Bots and AI","Bots|Targeting","BotTargetSwitchFraction","Target Switch Threshold (fraction)","0.45","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How much better a new target must score before a bot abandons the one it is already tracking, as a fraction of the current target's score. 1.0 disables the hysteresis. Switching target restarts the reaction clock. In a crowd the nearest enemy changes every second or two, which on Easy (a reaction delay of up to ~1.9s) meant the clock was re-rolled more often than it could ever elapse: 19.3% of bot-ticks aiming ... [allowed range: 0.05 to 1.0]"
"Bots and AI","Bots|Passing","BotPassEvalInterval","Pass Eval Interval (s)","0.35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds between pass evaluations by a carrying bot. [allowed range: 0.05 to 5.0]"
"Bots and AI","Bots|Passing","BotPassMinDistance","Min Pass Distance (uu)","700","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Shortest pass a bot will bother with, in uu. Below this the ""pass"" is a handoff to somebody standing on top of the carrier: it moves the Core almost nowhere, spends PassCooldownSeconds, and costs the carrier PassHoldSeconds of dropped shield for no positional gain at all. That is a bad trade for the bot and reads in the log as a bug. [allowed range: 0.0 to 10000.0]"
"Bots and AI","Bots|Passing","BotPassMinRange","Pass Range Floor (uu)","3200","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Floor on pass range, in uu. The effective range is the larger of this and the fraction below. [allowed range: 0.0 to 30000.0]"
"Bots and AI","Bots|Passing","BotPassRangeFieldFraction","Pass Range (fraction of field half-length)","0.55","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the field HALF-LENGTH a bot will throw the Core across. [allowed range: 0.0 to 2.0]"
"Bots and AI","Bots|Passing","BotPassMinGoalAdvantageFieldFraction","Min Receiver Goal Advantage (fraction of field half-length)","0.1","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How much closer to the goal a receiver must be, as a fraction of the field HALF-LENGTH. Pairs with BotEscortLeadFieldFraction: if a screening escort's own station is not further forward than this threshold, then by construction no escort is ever a legal receiver and passing silently never happens. That is exactly what was measured - zero passes in fifty runs. Keep BotEscortLeadFieldFraction comfortably above this ... [allowed range: 0.0 to 1.0]"
"Bots and AI","Bots|Passing","BotPassPressureRadius","Pass Pressure Radius (uu)","1400","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","An enemy this close (uu) to a carrying bot turns passing into a reflex rather than a plan: the advantage requirement drops to zero and any open teammate becomes a legal outlet. [allowed range: 0.0 to 10000.0]"
